Complexity,Loss,Equation
1,0.091168866,"0.51984745"
3,0.057434496,"(0.35850728 * x5)"
5,0.029709589,"((0.08666375 * x5) * x2)"
6,0.026650652,"(log(x2) / (3.636338 / x5))"
7,0.0058468576,"(((x2 * x1) / 17.076223) * x5)"
8,0.0025678352,"(((log(x2) * 0.18583421) * x5) * x1)"
9,0.0024192722,"(sin((log(x2) * 0.19470389) * x1) * x5)"
10,0.00197102,"(((log(x2) * x1) / (3.038289 + x3)) * x5)"
11,0.00081872323,"((log(x2) * (x1 * x5)) / (4.517083 + log(x3)))"
12,0.00034429863,"((log(x2 - log(log(x3))) / 5.6072187) * (x1 * x5))"
13,0.00019059898,"((((x2 - 1.0790207) / ((x2 / 0.47026777) + x3)) * x1) * x5)"
15,8.5272084e-5,"((((x2 - 0.98806685) / ((x2 + (x3 / 0.7183065)) + x2)) * x1) * x5)"
16,8.030608e-5,"((sin((x2 - 1.0028275) / (x2 + ((x3 * 1.2993573) + x2))) * x1) * x5)"
17,7.003013e-5,"((((x2 - cos(cos(x2))) / ((x2 / 0.4538408) + (x3 * 1.4186625))) * x1) * x5)"
18,3.9923354e-5,"((((x2 - cos(0.98806685 / x3)) / ((x2 + x3) + (x2 + 1.3714595))) * x1) * x5)"
19,1.8948525e-5,"((((x2 - cos(exp(0.9788903 - x3))) / (((x2 + x2) + x3) + 1.125349)) * x1) * x5)"
20,1.531491e-5,"((((x2 - cos(sin(exp(0.98806685 - x3)))) / (((x2 + x2) + x3) + 1.125349)) * x1) * x5)"
