Complexity,Loss,Equation
1,0.085698135,"0.39788243"
3,0.05052049,"(x5 / 3.7705905)"
5,0.02398457,"((0.2762854 * x1) * x5)"
7,0.010056304,"(((0.052016575 * x5) * x2) * x1)"
8,0.004750021,"(((0.18279865 * x1) * x5) * log(x2))"
9,0.0044542784,"(x5 / ((1.5785614 + (9.093689 / x2)) / x1))"
10,0.0041772565,"((x5 / (exp(2.4970987 / x2) * 2.0036721)) * x1)"
11,0.0006752788,"((x5 / (2.4565055 + (x3 / (x2 - 1.5156884)))) * x1)"
12,0.0004282759,"(((0.14892372 * x5) * (log(x2) + (0.74881625 / x3))) * x1)"
13,8.920844e-6,"((x5 / (exp((log(x3) - -1.6876465) / x2) * 2.0036721)) * x1)"
15,6.849281e-10,"((x5 / (exp(log((x3 / 0.17346646) + -0.48182306) / x2) * 2.000069)) * x1)"
16,6.84272e-10,"((x5 / (exp(log((x3 / 0.17339273) - exp(-0.7267765)) / x2) * 2.000082)) * x1)"
17,3.0651942e-10,"((x5 / (exp(log((x3 / 0.17346646) + (-0.6537293 + 0.17339195)) / x2) * 2.000069)) * x1)"
