Complexity,Loss,Equation
1,2.937618,"2.078499"
2,2.200583,"log(x4)"
3,1.5874867,"(0.37797678 * x4)"
4,0.88114405,"(log(x4) * x1)"
5,0.6345929,"((0.3023916 * x4) * x1)"
7,0.2987829,"(x1 * ((0.039794218 * x2) * x4))"
8,0.022249885,"(x1 * ((0.1672985 * log(x2)) * x4))"
9,0.018371612,"(x1 * (sin(0.17127925 * log(x2)) * x4))"
10,0.009935607,"((x4 * (x1 / exp(2.7795806 / x2))) / 2.003329)"
11,0.009935602,"((x4 * (x1 / exp(exp(1.0223297) / x2))) / 2.003329)"
12,0.007677242,"((0.14915536 * ((log(x2) - (-0.6955978 / x3)) * x1)) * x4)"
13,1.362058e-5,"((x4 * (x1 / exp((1.7116228 + log(x3)) / x2))) / 2.003329)"
15,6.0721686e-6,"((x4 * (x1 / exp(((log(x3) + 1.6574025) / 0.98046243) / x2))) / 2.003329)"
